"Metric","Value"
"Accuracy",0.798152096659559
"Kappa",0.443845652791155
"Sensitivity",0.512064343163539
"Specificity",0.901353965183752
"Precision",0.651877133105802
"Recall",0.512064343163539
"F1 Score",0.573573573573574
